RS,RSS,QL Index,Conversion Rate Index,% of total,Conversion rate
ORANGE,LAKEWOOD CA,102,148,0.004584002,0.06993007
ORANGE,LONG BEACH,78,136,0.003208801,0.064220183
ORANGE,MISSION VIEJO,77,118,0.002750401,0.055813953
ORANGE,ORANGE,52,59,0.0009168,0.027777778
ORANGE,SANTA ANA,82,211,0.005271602,0.1
ORANGE,SOUTH BAY,79,86,0.002062801,0.040540541
ORANGE,UNASSIGNED,0,0,0.001375201,0
ORANGE,WESTMINSTER,56,68,0.001146,0.032051282
ORANGE,NORWALK,59,64,0.001146,0.030487805
PHOENIX,ARROWHEAD,122,112,0.004125602,0.052941176
PHOENIX,CHANDLER,118,77,0.002750401,0.036474164
PHOENIX,DEER VALLEY,112,115,0.003896402,0.054487179
PHOENIX,FLAGSTAFF,64,47,0.0009168,0.022346369
PHOENIX,NORTH PHOENIX,190,60,0.003438001,0.028301887
PHOENIX,NORTH TUCSON,116,104,0.003667201,0.049230769
PHOENIX,PARADISE VALLEY,101,135,0.004125602,0.063829787
PHOENIX,QUEEN CREEK,93,171,0.004813202,0.080769231
PHOENIX,SOUTH TUCSON,141,91,0.003896402,0.043037975
PHOENIX,TEMPE,122,80,0.002979601,0.038011696
PHOENIX,UNASSIGNED,0,0,0.001604401,0
PHOENIX,WEST PHOENIX,150,162,0.007334403,0.076555024
PHOENIX,YUMA,104,101,0.003208801,0.047945205
PHOENIX,MESA AZ,137,83,0.003438001,0.039164491
PORTLAND,ANCHORAGE,65,140,0.002750401,0.066298343
PORTLAND,BEAVERTON,110,62,0.002062801,0.029411765
PORTLAND,BEND,57,147,0.002521201,0.069620253
PORTLAND,EUGENE,82,120,0.002979601,0.056768559
PORTLAND,GRESHAM,76,200,0.004584002,0.09478673
PORTLAND,MEDFORD,70,173,0.003667201,0.082051282
PORTLAND,OLYMPIA,79,105,0.002521201,0.049773756
PORTLAND,OREGON CITY OR,113,81,0.002750401,0.038095238
PORTLAND,SALEM OR,101,105,0.003208801,0.049469965
PORTLAND,UNASSIGNED,0,0,0.001375201,0
PORTLAND,VANCOUVER,93,171,0.004813202,0.080769231
PORTLAND,WASILLA AK,74,92,0.002062801,0.043478261
PORTLAND,ALBANY,67,136,0.002750401,0.064171123
RIVERSIDE,AZUSA,49,249,0.003667201,0.117647059
RIVERSIDE,CORONA CA,70,139,0.002979601,0.065989848
RIVERSIDE,FONTANA,72,106,0.002292001,0.05
RIVERSIDE,LA PUENTE CA,67,148,0.002979601,0.069892473
RIVERSIDE,MONTEBELLO CA,92,82,0.002292001,0.038910506
RIVERSIDE,PALM DESERT CA,110,110,0.003667201,0.052117264
RIVERSIDE,POMONA CA,77,148,0.003438001,0.070093458
RIVERSIDE,REDLANDS CA,54,168,0.002750401,0.079470199
RIVERSIDE,RIVERSIDE CA,97,117,0.003438001,0.055555556
RIVERSIDE,SAN BERNARDINO CA,126,132,0.005042402,0.062678063
RIVERSIDE,UNASSIGNED,0,0,0.001375201,0
RIVERSIDE,UPLAND CA,74,122,0.002750401,0.057692308
RIVERSIDE,VICTORVILLE CA,256,103,0.008022003,0.048951049
SACRAMENTO,CHICO,149,71,0.003208801,0.033653846
SACRAMENTO,CLOVIS,56,108,0.001833601,0.050955414
SACRAMENTO,ELK GROVE,59,51,0.0009168,0.024242424
SACRAMENTO,FAIR OAKS,122,99,0.003667201,0.046783626
SACRAMENTO,FRESNO,158,38,0.001833601,0.01814059
SACRAMENTO,MANTECA,80,57,0.001375201,0.02690583
SACRAMENTO,MERCED,121,69,0.002521201,0.032544379
SACRAMENTO,MODESTO,74,103,0.002292001,0.048543689
SACRAMENTO,RENO,200,72,0.004354802,0.033989267
SACRAMENTO,ROSEVILLE CA,128,65,0.002521201,0.030812325
SACRAMENTO,SELMA,111,54,0.001833601,0.025723473
SACRAMENTO,SOUTH SACRAMENTO,162,79,0.003896402,0.037527594
SACRAMENTO,STOCKTON,104,131,0.004125602,0.06185567
SACRAMENTO,TURLOCK,0,8454,0.0009168,4
SACRAMENTO,UNASSIGNED,0,0,0.0009168,0
SACRAMENTO,VISALIA,151,65,0.002979601,0.030805687
SALT LAKE CITY,BOISE,165,46,0.002292001,0.021691974
SALT LAKE CITY,EAST SALT LAKE CITY,111,136,0.004584002,0.064516129
SALT LAKE CITY,EAST VEGAS,130,82,0.003208801,0.038674033
SALT LAKE CITY,IDAHO FALLS,289,29,0.002521201,0.013613861
SALT LAKE CITY,NAMPA,135,95,0.003896402,0.045092838
SALT LAKE CITY,NORTH LAS VEGAS,195,108,0.006417603,0.051282051
SALT LAKE CITY,OGDEN,150,147,0.006646803,0.06937799
SALT LAKE CITY,PROVO,116,91,0.003208801,0.043209877
SALT LAKE CITY,SANDY,91,92,0.002521201,0.043478261
SALT LAKE CITY,SOUTH VEGAS,113,121,0.004125602,0.057142857
SALT LAKE CITY,UNASSIGNED,0,0,0.001375201,0
SALT LAKE CITY,WEST SALT LAKE CITY UT,105,151,0.004813202,0.071672355
SALT LAKE CITY,WEST VEGAS,178,136,0.007334403,0.064257028
SAN ANTONIO,AUSTIN NORTH,153,74,0.003438001,0.035128806
SAN ANTONIO,AUSTIN SOUTH,154,88,0.004125602,0.041860465
SAN ANTONIO,CORPUS CHRISTI,139,114,0.004813202,0.053984576
SAN ANTONIO,DEL RIO,60,188,0.003438001,0.088757396
SAN ANTONIO,HARLINGEN,174,122,0.006417603,0.057731959
SAN ANTONIO,INGRAM,228,80,0.005500802,0.037617555
SAN ANTONIO,LAREDO,100,61,0.001833601,0.028673835
SAN ANTONIO,MCALLEN,127,167,0.006417603,0.078873239
SAN ANTONIO,NEW BRAUNFELS,157,53,0.002521201,0.025114155
SAN ANTONIO,NORTH EAST,144,68,0.002979601,0.032258065
SAN ANTONIO,SOUTH PARK,137,94,0.003896402,0.044270833
SAN ANTONIO,UNASSIGNED,0,0,0.003208801,0
SAN ANTONIO,VICTORIA,79,76,0.001833601,0.036036036
SAN ANTONIO,WESLACO,136,95,0.003896402,0.044736842
SAN ANTONIO,WESTLAKES,206,128,0.008022003,0.060763889
SAN ANTONIO,SAN MARCOS,30,76,0.0006876,0.036144578
SAN DIEGO,CLAIREMONT,101,83,0.002521201,0.039145907
SAN DIEGO,EL CAJON,155,141,0.006646803,0.066820276
SAN DIEGO,ESCONDIDO CA,106,115,0.003667201,0.054237288
SAN DIEGO,GUAM,15,0,0,0
SAN DIEGO,HONOLULU,114,120,0.004125602,0.056603774
SAN DIEGO,IMPERIAL BEACH CA,133,102,0.004125602,0.048257373
SAN DIEGO,MORENO VALLEY,170,138,0.007105203,0.065263158
SAN DIEGO,NATIONAL CITY,188,65,0.003667201,0.030534351
SAN DIEGO,OCEANSIDE,145,126,0.005500802,0.059405941
SAN DIEGO,PEARL CITY,124,67,0.002521201,0.031791908
SAN DIEGO,TEMECULA,192,118,0.006876003,0.055865922
SAN DIEGO,UNASSIGNED,0,0,0.0004584,0
SAN FRANCISCO,BERKELEY,224,71,0.004813202,0.0336
SAN FRANCISCO,BRENTWOOD,81,130,0.003208801,0.061674009
SAN FRANCISCO,CONCORD,84,99,0.002521201,0.046610169
SAN FRANCISCO,CONTRA COSTA,0,0,0,0
SAN FRANCISCO,FAIRFIELD CA,116,98,0.003438001,0.046296296
SAN FRANCISCO,FREMONT,78,68,0.001604401,0.032258065
SAN FRANCISCO,GILROY,90,101,0.002750401,0.047808765
SAN FRANCISCO,SALINAS,122,93,0.003438001,0.043859649
SAN FRANCISCO,SAN FRANCISCO,116,39,0.001375201,0.018575851
SAN FRANCISCO,SAN JOSE NORTH,127,77,0.002979601,0.036619718
SAN FRANCISCO,SAN JOSE SOUTH,87,87,0.002292001,0.041322314
SAN FRANCISCO,SAN MATEO,96,87,0.002521201,0.041198502
SAN FRANCISCO,SANTA ROSA,173,105,0.005500802,0.049689441
SAN FRANCISCO,UNASSIGNED,0,0,0.001375201,0
SEATTLE,BILLINGS,70,108,0.002292001,0.051282051
SEATTLE,BREMERTON,48,222,0.003208801,0.105263158
SEATTLE,BURLINGTON,80,123,0.002979601,0.058035714
SEATTLE,COVINGTON,54,98,0.001604401,0.046357616
SEATTLE,EVERETT,143,79,0.003438001,0.0375
SEATTLE,HAYDEN,57,92,0.001604401,0.04375
SEATTLE,HELENA,0,0,0.0006876,0
SEATTLE,KENNEWICK,72,169,0.003667201,0.08
SEATTLE,MISSOULA,64,141,0.002750401,0.066666667
SEATTLE,PUYALLUP,167,72,0.003667201,0.034261242
SEATTLE,SOUTH CENTER,74,123,0.002750401,0.057971014
SEATTLE,SPOKANE,103,103,0.003208801,0.048780488
SEATTLE,TACOMA,1,4227,0.0009168,2
SEATTLE,UNASSIGNED,0,0,0.0004584,0
SEATTLE,YAKIMA,107,134,0.004354802,0.063545151
SEATTLE,EMERALD CITY,47,98,0.001375201,0.046153846
ST LOUIS,ARNOLD MO,91,83,0.002292001,0.039370079
ST LOUIS,CAPE GIRARDEAU,27,169,0.001375201,0.08
ST LOUIS,CARBONDALE IL,0,0,0.0002292,0
ST LOUIS,CHAMPAIGN IL,76,198,0.004584002,0.093896714
ST LOUIS,EDWARDSVILLE IL,219,62,0.004125602,0.029363785
ST LOUIS,JONESBORO AR,86,70,0.001833601,0.033333333
ST LOUIS,MT VERNON,70,108,0.002292001,0.051282051
ST LOUIS,PEORIA,87,165,0.004354802,0.0781893
ST LOUIS,SAINT LOUIS,139,38,0.001604401,0.017994859
ST LOUIS,SPRINGFIELD IL,60,189,0.003438001,0.089285714
ST LOUIS,UNASSIGNED,0,0,0,0
ST LOUIS,WENTZVILLE,170,94,0.004813202,0.044303797
ST LOUIS,WEST COUNTY MO,63,72,0.001375201,0.034285714
TWIN CITIES,BLOOMINGTON MN,166,50,0.002521201,0.023655914
TWIN CITIES,BUFFALO,68,56,0.001146,0.026455026
TWIN CITIES,BURNSVILLE MN,94,104,0.002979601,0.049242424
TWIN CITIES,COON RAPIDS MN,243,59,0.004354802,0.027941176
TWIN CITIES,DULUTH MN,80,113,0.002750401,0.053571429
TWIN CITIES,EAU CLAIRE WI,107,92,0.002979601,0.043478261
TWIN CITIES,FARGO ND,180,93,0.005042402,0.043824701
TWIN CITIES,MANKATO MN,74,144,0.003208801,0.067961165
TWIN CITIES,ROSEVILLE MN,130,41,0.001604401,0.019337017
TWIN CITIES,SIOUX FALLS SD,118,121,0.004354802,0.057401813
TWIN CITIES,ST CLOUD MN,95,151,0.004354802,0.071428571
TWIN CITIES,UNASSIGNED,0,0,0.0006876,0
